"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1355","","","","0"
"2013/2014","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1248","","","","0"
"2014/2015","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","942","","","","0"
"2015/2016","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","814","","","","0"
"2016/2017","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","845","","","","0"
"2017/2018","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","765","","","","0"
"2018/2019","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","686","","","","0"
"2019/2020","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","593","","","","0"
"2020/2021","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","408","","","","0"
"2021/2022","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","0","","","","0"
"1999/2000","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","4506","","","","0"
"2000/2001","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","4721","","","","0"
"2001/2002","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","4583","","","","0"
"2002/2003","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","4713","","","","0"
"2003/2004","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3923","","","","0"
"2004/2005","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3478","","","","0"
"2005/2006","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3327","","","","0"
"2006/2007","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3254","","","","0"
"2007/2008","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3288","","","","0"
"2008/2009","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3335","","","","0"
"2009/2010","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","3074","","","","0"
"2010/2011","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","2868","","","","0"
"2011/2012","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","2425","","","","0"
"2012/2013","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","2173","","","","0"
"2013/2014","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1811","","","","0"
"2014/2015","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1258","","","","0"
"2015/2016","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1500","","","","0"
"2016/2017","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1588","","","","0"
"2017/2018","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1809","","","","0"
"2018/2019","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1696","","","","0"
"2019/2020","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1794","","","","0"
"2020/2021","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1142","","","","0"
"2021/2022","Ontario","2016A000235","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317164","7.4.2.1.2.1","1323","","","","0"
"1999/2000","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3630","","","","0"
"2000/2001","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3659","","","","0"
"2001/2002","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3823","","","","0"
"2002/2003","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","4096","","","","0"
"2003/2004","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3568","","","","0"
"2004/2005","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3336","","","","0"
"2005/2006","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3359","","","","0"
"2006/2007","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3416","","","","0"
"2007/2008","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3538","","","","0"
"2008/2009","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3658","","","","0"
"2009/2010","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3481","","","","0"
"2010/2011","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3429","","","","0"
"2011/2012","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3270","","","","0"
"2012/2013","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","3001","","","","0"
"2013/2014","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","2683","","","","0"
"2014/2015","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","2050","","","","0"
"2015/2016","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","1943","","","","0"
"2016/2017","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","2051","","","","0"
"2017/2018","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","2205","","","","0"
"2018/2019","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","1869","","","","0"
"2019/2020","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","2086","","","","0"
"2020/2021","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","1302","","","","0"
"2021/2022","Ontario","2016A000235","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60317284","7.4.3.1.2.1","1357","","","","0"
"1999/2000","Ontario","2016A000235","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324424","7.15.2.1.2.1","7042","","","","0"
"2000/2001","Ontario","2016A000235","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324424","7.15.2.1.2.1","7529","","","","0"
