"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007/2008","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","42","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","19","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","26","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","28","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","18","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","32","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","24","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","15","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","15","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","13","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","22","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","20","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","13","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","12","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","10","","","","0"
"1999/2000","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","44","","","","0"
"2000/2001","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","37","","","","0"
"2001/2002","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","59","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","52","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60218824","3.15.2.1.2.1","26","","","","0"
